"set" "ID" "activity" "feature" "mean"
"50" "test" 2 "LAYING" "tGravityAcc-std()-X" -0.959014441458333
"51" "test" 2 "LAYING" "tGravityAcc-std()-Y" -0.988211865208333
"52" "test" 2 "LAYING" "tGravityAcc-std()-Z" -0.984230418125
"53" "test" 2 "LAYING" "tBodyAccJerk-std()-X" -0.98587216875
"54" "test" 2 "LAYING" "tBodyAccJerk-std()-Y" -0.98317254125
"55" "test" 2 "LAYING" "tBodyAccJerk-std()-Z" -0.988442014375
"56" "test" 2 "LAYING" "tBodyGyro-std()-X" -0.988275232916667
"57" "test" 2 "LAYING" "tBodyGyro-std()-Y" -0.982291608958333
"58" "test" 2 "LAYING" "tBodyGyro-std()-Z" -0.960306560416667
"59" "test" 2 "LAYING" "tBodyGyroJerk-std()-X" -0.993235849166667
"60" "test" 2 "LAYING" "tBodyGyroJerk-std()-Y" -0.989567537916667
"61" "test" 2 "LAYING" "tBodyGyroJerk-std()-Z" -0.98803582125
"62" "test" 2 "LAYING" "tBodyAccMag-std()" -0.972873912916667
"63" "test" 2 "LAYING" "tGravityAccMag-std()" -0.972873912916667
"64" "test" 2 "LAYING" "tBodyAccJerkMag-std()" -0.98551807625
"65" "test" 2 "LAYING" "tBodyGyroMag-std()" -0.961164053958333
"66" "test" 2 "LAYING" "tBodyGyroJerkMag-std()" -0.989718095208333
"67" "test" 2 "LAYING" "fBodyAcc-std()-X" -0.973246482083333
"68" "test" 2 "LAYING" "fBodyAcc-std()-Y" -0.981025105625
"69" "test" 2 "LAYING" "fBodyAcc-std()-Z" -0.984792185
"70" "test" 2 "LAYING" "fBodyAccJerk-std()-X" -0.987250255833333
"71" "test" 2 "LAYING" "fBodyAccJerk-std()-Y" -0.984987392916667
"72" "test" 2 "LAYING" "fBodyAccJerk-std()-Z" -0.989345368541667
"73" "test" 2 "LAYING" "fBodyGyro-std()-X" -0.988860685833333
"74" "test" 2 "LAYING" "fBodyGyro-std()-Y" -0.981910616458333
"75" "test" 2 "LAYING" "fBodyGyro-std()-Z" -0.963174222291667
"76" "test" 2 "LAYING" "fBodyAccMag-std()" -0.975121387916667
"77" "test" 2 "LAYING" "fBodyBodyAccJerkMag-std()" -0.984568489166667
"78" "test" 2 "LAYING" "fBodyBodyGyroMag-std()" -0.96109837875
"79" "test" 2 "LAYING" "fBodyBodyGyroJerkMag-std()" -0.989492660416667
"80" "test" 2 "SITTING" "tBodyAcc-mean()-X" 0.27708735173913
"81" "test" 2 "SITTING" "tBodyAcc-mean()-Y" -0.0156879937282609
"82" "test" 2 "SITTING" "tBodyAcc-mean()-Z" -0.109218272456522
"83" "test" 2 "SITTING" "tGravityAcc-mean()-X" 0.940477273043478
"84" "test" 2 "SITTING" "tGravityAcc-mean()-Y" -0.105630024498783
"85" "test" 2 "SITTING" "tGravityAcc-mean()-Z" 0.19872676876087
"86" "test" 2 "SITTING" "tBodyAccJerk-mean()-X" 0.0722564387173913
"87" "test" 2 "SITTING" "tBodyAccJerk-mean()-Y" 0.0116954511323913
"88" "test" 2 "SITTING" "tBodyAccJerk-mean()-Z" 0.00760546929869565
"89" "test" 2 "SITTING" "tBodyGyro-mean()-X" -0.0454706620434783
"90" "test" 2 "SITTING" "tBodyGyro-mean()-Y" -0.0599286797043478
"91" "test" 2 "SITTING" "tBodyGyro-mean()-Z" 0.0412277462173913
"92" "test" 2 "SITTING" "tBodyGyroJerk-mean()-X" -0.0936328412826087
"93" "test" 2 "SITTING" "tBodyGyroJerk-mean()-Y" -0.0415602029130435
"94" "test" 2 "SITTING" "tBodyGyroJerk-mean()-Z" -0.04358509665
"95" "test" 2 "SITTING" "tBodyAccMag-mean()" -0.967893623913043
"96" "test" 2 "SITTING" "tGravityAccMag-mean()" -0.967893623913043
"97" "test" 2 "SITTING" "tBodyAccJerkMag-mean()" -0.986774713043478
"98" "test" 2 "SITTING" "tBodyGyroMag-mean()" -0.946035087173913
"99" "test" 2 "SITTING" "tBodyGyroJerkMag-mean()" -0.991081493913043
"100" "test" 2 "SITTING" "fBodyAcc-mean()-X" -0.985803840652174
"101" "test" 2 "SITTING" "fBodyAcc-mean()-Y" -0.957343498478261
"102" "test" 2 "SITTING" "fBodyAcc-mean()-Z" -0.970162172608696
"103" "test" 2 "SITTING" "fBodyAcc-meanFreq()-X" 0.08519282071
"104" "test" 2 "SITTING" "fBodyAcc-meanFreq()-Y" 0.150193956163043
"105" "test" 2 "SITTING" "fBodyAcc-meanFreq()-Z" 0.0960646759586957
"106" "test" 2 "SITTING" "fBodyAccJerk-mean()-X" -0.987848793695652
"107" "test" 2 "SITTING" "fBodyAccJerk-mean()-Y" -0.977139702826087
"108" "test" 2 "SITTING" "fBodyAccJerk-mean()-Z" -0.985129050217391
"109" "test" 2 "SITTING" "fBodyAccJerk-meanFreq()-X" 0.305546818084783
"110" "test" 2 "SITTING" "fBodyAccJerk-meanFreq()-Y" 0.0262448647134783
"111" "test" 2 "SITTING" "fBodyAccJerk-meanFreq()-Z" 0.0929030630369565
"112" "test" 2 "SITTING" "fBodyGyro-mean()-X" -0.982621389565217
"113" "test" 2 "SITTING" "fBodyGyro-mean()-Y" -0.982100923695652
"114" "test" 2 "SITTING" "fBodyGyro-mean()-Z" -0.959814822391304
"115" "test" 2 "SITTING" "fBodyGyro-meanFreq()-X" 0.130523120891304
"116" "test" 2 "SITTING" "fBodyGyro-meanFreq()-Y" -0.192142737913043
"117" "test" 2 "SITTING" "fBodyGyro-meanFreq()-Z" 0.0409472348676087
"118" "test" 2 "SITTING" "fBodyAccMag-mean()" -0.96127374826087
"119" "test" 2 "SITTING" "fBodyAccMag-meanFreq()" 0.130934202854348
"120" "test" 2 "SITTING" "fBodyBodyAccJerkMag-mean()" -0.983874698913043
"121" "test" 2 "SITTING" "fBodyBodyAccJerkMag-meanFreq()" 0.280062423956522
"122" "test" 2 "SITTING" "fBodyBodyGyroMag-mean()" -0.971840596086956
"123" "test" 2 "SITTING" "fBodyBodyGyroMag-meanFreq()" -0.106358909173913
"124" "test" 2 "SITTING" "fBodyBodyGyroJerkMag-mean()" -0.989861950869565
"125" "test" 2 "SITTING" "fBodyBodyGyroJerkMag-meanFreq()" 0.1947221493
"126" "test" 2 "SITTING" "tBodyAcc-std()-X" -0.986822279565217
"127" "test" 2 "SITTING" "tBodyAcc-std()-Y" -0.950704499130435
"128" "test" 2 "SITTING" "tBodyAcc-std()-Z" -0.95982817173913
"129" "test" 2 "SITTING" "tGravityAcc-std()-X" -0.979988760869565
"130" "test" 2 "SITTING" "tGravityAcc-std()-Y" -0.956750273043478
"131" "test" 2 "SITTING" "tGravityAcc-std()-Z" -0.954415873043478
"132" "test" 2 "SITTING" "tBodyAccJerk-std()-X" -0.988055854130435
"133" "test" 2 "SITTING" "tBodyAccJerk-std()-Y" -0.977983955434783
"134" "test" 2 "SITTING" "tBodyAccJerk-std()-Z" -0.98751821173913
"135" "test" 2 "SITTING" "tBodyGyro-std()-X" -0.985742027826087
"136" "test" 2 "SITTING" "tBodyGyro-std()-Y" -0.978919526956522
"137" "test" 2 "SITTING" "tBodyGyro-std()-Z" -0.959803708695652
"138" "test" 2 "SITTING" "tBodyGyroJerk-std()-X" -0.989709023043478
"139" "test" 2 "SITTING" "tBodyGyroJerk-std()-Y" -0.990889614782609
"140" "test" 2 "SITTING" "tBodyGyroJerk-std()-Z" -0.985542325652174
"141" "test" 2 "SITTING" "tBodyAccMag-std()" -0.953081444130435
"142" "test" 2 "SITTING" "tGravityAccMag-std()" -0.953081444130435
"143" "test" 2 "SITTING" "tBodyAccJerkMag-std()" -0.984475868043478
"144" "test" 2 "SITTING" "tBodyGyroMag-std()" -0.961313624130435
"145" "test" 2 "SITTING" "tBodyGyroJerkMag-std()" -0.989594919565217
"146" "test" 2 "SITTING" "fBodyAcc-std()-X" -0.98736209
"147" "test" 2 "SITTING" "fBodyAcc-std()-Y" -0.950073754130435
"148" "test" 2 "SITTING" "fBodyAcc-std()-Z" -0.956862864130435
"149" "test" 2 "SITTING" "fBodyAccJerk-std()-X" -0.989459107391304
"150" "test" 2 "SITTING" "fBodyAccJerk-std()-Y" -0.980804228478261
"151" "test" 2 "SITTING" "fBodyAccJerk-std()-Z" -0.988570804130435
"152" "test" 2 "SITTING" "fBodyGyro-std()-X" -0.986808501521739
"153" "test" 2 "SITTING" "fBodyGyro-std()-Y" -0.977356188695652
"154" "test" 2 "SITTING" "fBodyGyro-std()-Z" -0.963522659782609
"155" "test" 2 "SITTING" "fBodyAccMag-std()" -0.955575602173913
"156" "test" 2 "SITTING" "fBodyBodyAccJerkMag-std()" -0.984124185869565
"157" "test" 2 "SITTING" "fBodyBodyGyroMag-std()" -0.961385745217391
"158" "test" 2 "SITTING" "fBodyBodyGyroJerkMag-std()" -0.989632908913043
"159" "test" 2 "STANDING" "tBodyAcc-mean()-X" 0.277911472222222
"160" "test" 2 "STANDING" "tBodyAcc-mean()-Y" -0.0184208270166667
"161" "test" 2 "STANDING" "tBodyAcc-mean()-Z" -0.105908536055556
"162" "test" 2 "STANDING" "tGravityAcc-mean()-X" 0.896928566851852
"163" "test" 2 "STANDING" "tGravityAcc-mean()-Y" -0.370062696851852
"164" "test" 2 "STANDING" "tGravityAcc-mean()-Z" 0.129747161222222
"165" "test" 2 "STANDING" "tBodyAccJerk-mean()-X" 0.0747588597592593
"166" "test" 2 "STANDING" "tBodyAccJerk-mean()-Y" 0.0103291774794444
"167" "test" 2 "STANDING" "tBodyAccJerk-mean()-Z" -0.00837158846722222
"168" "test" 2 "STANDING" "tBodyGyro-mean()-X" -0.0238623875712963
"169" "test" 2 "STANDING" "tBodyGyro-mean()-Y" -0.0820396577592593
"170" "test" 2 "STANDING" "tBodyGyro-mean()-Z" 0.0878351695481481
"171" "test" 2 "STANDING" "tBodyGyroJerk-mean()-X" -0.105562157888889
"172" "test" 2 "STANDING" "tBodyGyroJerk-mean()-Y" -0.042241953537037
"173" "test" 2 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0546539479425926
"174" "test" 2 "STANDING" "tBodyAccMag-mean()" -0.965875181296296
"175" "test" 2 "STANDING" "tGravityAccMag-mean()" -0.965875181296296
"176" "test" 2 "STANDING" "tBodyAccJerkMag-mean()" -0.980489077407407
"177" "test" 2 "STANDING" "tBodyGyroMag-mean()" -0.963466341851852
"178" "test" 2 "STANDING" "tBodyGyroJerkMag-mean()" -0.983951904259259
"179" "test" 2 "STANDING" "fBodyAcc-mean()-X" -0.983946739814815
"180" "test" 2 "STANDING" "fBodyAcc-mean()-Y" -0.959871697407407
"181" "test" 2 "STANDING" "fBodyAcc-mean()-Z" -0.962471195740741
"182" "test" 2 "STANDING" "fBodyAcc-meanFreq()-X" 0.108519182924074
"183" "test" 2 "STANDING" "fBodyAcc-meanFreq()-Y" 0.0623378066683333
"184" "test" 2 "STANDING" "fBodyAcc-meanFreq()-Z" 0.104462499601852
"185" "test" 2 "STANDING" "fBodyAccJerk-mean()-X" -0.980973241666667
"186" "test" 2 "STANDING" "fBodyAccJerk-mean()-Y" -0.970851337962963
"187" "test" 2 "STANDING" "fBodyAccJerk-mean()-Z" -0.979775152037037
"188" "test" 2 "STANDING" "fBodyAccJerk-meanFreq()-X" 0.331449281481482
"189" "test" 2 "STANDING" "fBodyAccJerk-meanFreq()-Y" -0.0569368291814815
"190" "test" 2 "STANDING" "fBodyAccJerk-meanFreq()-Z" 0.0396498183462963
"191" "test" 2 "STANDING" "fBodyGyro-mean()-X" -0.967037112037037
"192" "test" 2 "STANDING" "fBodyGyro-mean()-Y" -0.972576152962963
"193" "test" 2 "STANDING" "fBodyGyro-mean()-Z" -0.960627696111111
"194" "test" 2 "STANDING" "fBodyGyro-meanFreq()-X" -0.107416045074074
"195" "test" 2 "STANDING" "fBodyGyro-meanFreq()-Y" -0.171160370096296
"196" "test" 2 "STANDING" "fBodyGyro-meanFreq()-Z" 0.000226810610740739
"197" "test" 2 "STANDING" "fBodyAccMag-mean()" -0.964052166481482
"198" "test" 2 "STANDING" "fBodyAccMag-meanFreq()" 0.119649963903704
"199" "test" 2 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.977065295555556
"200" "test" 2 "STANDING" "fBodyBodyAccJerkMag-meanFreq()" 0.304871865218519
"201" "test" 2 "STANDING" "fBodyBodyGyroMag-mean()" -0.961775904814815
"202" "test" 2 "STANDING" "fBodyBodyGyroMag-meanFreq()" -0.0661266045796296
"203" "test" 2 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.977849827407407
"204" "test" 2 "STANDING" "fBodyBodyGyroJerkMag-meanFreq()" 0.160662823925926
"205" "test" 2 "STANDING" "tBodyAcc-std()-X" -0.987271889259259
"206" "test" 2 "STANDING" "tBodyAcc-std()-Y" -0.957304989259259
"207" "test" 2 "STANDING" "tBodyAcc-std()-Z" -0.949741851296296
"208" "test" 2 "STANDING" "tGravityAcc-std()-X" -0.986685818703704
"209" "test" 2 "STANDING" "tGravityAcc-std()-Y" -0.97419442037037
"210" "test" 2 "STANDING" "tGravityAcc-std()-Z" -0.945927078703704
"211" "test" 2 "STANDING" "tBodyAccJerk-std()-X" -0.981085715555556
"212" "test" 2 "STANDING" "tBodyAccJerk-std()-Y" -0.97105943962963
"213" "test" 2 "STANDING" "tBodyAccJerk-std()-Z" -0.982841446481482
"214" "test" 2 "STANDING" "tBodyGyro-std()-X" -0.972998629814815
"215" "test" 2 "STANDING" "tBodyGyro-std()-Y" -0.971441996481481
"216" "test" 2 "STANDING" "tBodyGyro-std()-Z" -0.964856701851852
"217" "test" 2 "STANDING" "tBodyGyroJerk-std()-X" -0.979324000740741
"218" "test" 2 "STANDING" "tBodyGyroJerk-std()-Y" -0.983447258518519
"219" "test" 2 "STANDING" "tBodyGyroJerk-std()-Z" -0.973610118333333
"220" "test" 2 "STANDING" "tBodyAccMag-std()" -0.957874965
"221" "test" 2 "STANDING" "tGravityAccMag-std()" -0.957874965
"222" "test" 2 "STANDING" "tBodyAccJerkMag-std()" -0.976675280185185
"223" "test" 2 "STANDING" "tBodyGyroMag-std()" -0.95394338037037
"224" "test" 2 "STANDING" "tBodyGyroJerkMag-std()" -0.977204427777778
"225" "test" 2 "STANDING" "fBodyAcc-std()-X" -0.989056469814815
"226" "test" 2 "STANDING" "fBodyAcc-std()-Y" -0.957908842222222
"227" "test" 2 "STANDING" "fBodyAcc-std()-Z" -0.946433583518518
"228" "test" 2 "STANDING" "fBodyAccJerk-std()-X" -0.983007923703704
"229" "test" 2 "STANDING" "fBodyAccJerk-std()-Y" -0.973520241111111
"230" "test" 2 "STANDING" "fBodyAccJerk-std()-Z" -0.984599905185185
"231" "test" 2 "STANDING" "fBodyGyro-std()-X" -0.97498812462963
"232" "test" 2 "STANDING" "fBodyGyro-std()-Y" -0.97103605037037
"233" "test" 2 "STANDING" "fBodyGyro-std()-Z" -0.969754295740741
"234" "test" 2 "STANDING" "fBodyAccMag-std()" -0.960519381481482
"235" "test" 2 "STANDING" "fBodyBodyAccJerkMag-std()" -0.97516046
"236" "test" 2 "STANDING" "fBodyBodyGyroMag-std()" -0.956788725740741
"237" "test" 2 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.977754298148148
"238" "test" 2 "WALKING" "tBodyAcc-mean()-X" 0.276426586440678
"239" "test" 2 "WALKING" "tBodyAcc-mean()-Y" -0.0185949199145763
"240" "test" 2 "WALKING" "tBodyAcc-mean()-Z" -0.105500357966102
"241" "test" 2 "WALKING" "tGravityAcc-mean()-X" 0.91301733338983
"242" "test" 2 "WALKING" "tGravityAcc-mean()-Y" -0.34660709
"243" "test" 2 "WALKING" "tGravityAcc-mean()-Z" 0.0847270871186441
"244" "test" 2 "WALKING" "tBodyAccJerk-mean()-X" 0.0618080696279661
"245" "test" 2 "WALKING" "tBodyAccJerk-mean()-Y" 0.0182492679288136
"246" "test" 2 "WALKING" "tBodyAccJerk-mean()-Z" 0.00789533706610169
"247" "test" 2 "WALKING" "tBodyGyro-mean()-X" -0.0530258157347458
"248" "test" 2 "WALKING" "tBodyGyro-mean()-Y" -0.0482382316949153
"249" "test" 2 "WALKING" "tBodyGyro-mean()-Z" 0.0828336633220339
"250" "test" 2 "WALKING" "tBodyGyroJerk-mean()-X" -0.0818833429152542
"251" "test" 2 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0538299449067797
"252" "test" 2 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0514939156830508
"253" "test" 2 "WALKING" "tBodyAccMag-mean()" -0.290407593728814
"254" "test" 2 "WALKING" "tGravityAccMag-mean()" -0.290407593728814
"255" "test" 2 "WALKING" "tBodyAccJerkMag-mean()" -0.281424153881356
"256" "test" 2 "WALKING" "tBodyGyroMag-mean()" -0.446549092881356
"257" "test" 2 "WALKING" "tBodyGyroJerkMag-mean()" -0.547911950338983
"258" "test" 2 "WALKING" "fBodyAcc-mean()-X" -0.346048161016949
"259" "test" 2 "WALKING" "fBodyAcc-mean()-Y" -0.0219048103322034
"260" "test" 2 "WALKING" "fBodyAcc-mean()-Z" -0.453806369830508
"261" "test" 2 "WALKING" "fBodyAcc-meanFreq()-X" -0.14579548970339
"262" "test" 2 "WALKING" "fBodyAcc-meanFreq()-Y" 0.198586466508475
"263" "test" 2 "WALKING" "fBodyAcc-meanFreq()-Z" 0.0688995208186441
"264" "test" 2 "WALKING" "fBodyAccJerk-mean()-X" -0.304615322881356
"265" "test" 2 "WALKING" "fBodyAccJerk-mean()-Y" -0.0787640836610169
"266" "test" 2 "WALKING" "fBodyAccJerk-mean()-Z" -0.554956709661017
"267" "test" 2 "WALKING" "fBodyAccJerk-meanFreq()-X" -0.0727101584479661
"268" "test" 2 "WALKING" "fBodyAccJerk-meanFreq()-Y" -0.263574018186441
"269" "test" 2 "WALKING" "fBodyAccJerk-meanFreq()-Z" -0.254846438755932
"270" "test" 2 "WALKING" "fBodyGyro-mean()-X" -0.429713536101695
"271" "test" 2 "WALKING" "fBodyGyro-mean()-Y" -0.55477211220339
"272" "test" 2 "WALKING" "fBodyGyro-mean()-Z" -0.396659907457627
"273" "test" 2 "WALKING" "fBodyGyro-meanFreq()-X" 0.00727967988474576
"274" "test" 2 "WALKING" "fBodyGyro-meanFreq()-Y" -0.0427009322372881
"275" "test" 2 "WALKING" "fBodyGyro-meanFreq()-Z" 0.139752115269492
"276" "test" 2 "WALKING" "fBodyAccMag-mean()" -0.324289427932203
"277" "test" 2 "WALKING" "fBodyAccMag-meanFreq()" 0.393206208305085
"278" "test" 2 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.169064352813559
"279" "test" 2 "WALKING" "fBodyBodyAccJerkMag-meanFreq()" 0.20750092670339
"280" "test" 2 "WALKING" "fBodyBodyGyroMag-mean()" -0.530704814745763
"281" "test" 2 "WALKING" "fBodyBodyGyroMag-meanFreq()" 0.305283825254237
"282" "test" 2 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.583249293389831
"283" "test" 2 "WALKING" "fBodyBodyGyroJerkMag-meanFreq()" 0.126344614439492
"284" "test" 2 "WALKING" "tBodyAcc-std()-X" -0.423642838474576
"285" "test" 2 "WALKING" "tBodyAcc-std()-Y" -0.0780912533118644
"286" "test" 2 "WALKING" "tBodyAcc-std()-Z" -0.425257524915254
"287" "test" 2 "WALKING" "tGravityAcc-std()-X" -0.972693201355932
"288" "test" 2 "WALKING" "tGravityAcc-std()-Y" -0.972116879661017
"289" "test" 2 "WALKING" "tGravityAcc-std()-Z" -0.972072847627119
"290" "test" 2 "WALKING" "tBodyAccJerk-std()-X" -0.277530462620339
"291" "test" 2 "WALKING" "tBodyAccJerk-std()-Y" -0.0166022362847458
"292" "test" 2 "WALKING" "tBodyAccJerk-std()-Z" -0.586090418983051
"293" "test" 2 "WALKING" "tBodyGyro-std()-X" -0.561550255762712
"294" "test" 2 "WALKING" "tBodyGyro-std()-Y" -0.53845366779661
"295" "test" 2 "WALKING" "tBodyGyro-std()-Z" -0.481085535084746
"296" "test" 2 "WALKING" "tBodyGyroJerk-std()-X" -0.389549831525424
"297" "test" 2 "WALKING" "tBodyGyroJerk-std()-Y" -0.634140436101695
"298" "test" 2 "WALKING" "tBodyGyroJerk-std()-Z" -0.435492677288136
"299" "test" 2 "WALKING" "tBodyAccMag-std()" -0.422544169322034
"300" "test" 2 "WALKING" "tGravityAccMag-std()" -0.422544169322034
"301" "test" 2 "WALKING" "tBodyAccJerkMag-std()" -0.164150985127119
"302" "test" 2 "WALKING" "tBodyGyroMag-std()" -0.553019916271186
"303" "test" 2 "WALKING" "tBodyGyroJerkMag-std()" -0.557798151355932
"304" "test" 2 "WALKING" "fBodyAcc-std()-X" -0.457651383728814
"305" "test" 2 "WALKING" "fBodyAcc-std()-Y" -0.16921968620339
"306" "test" 2 "WALKING" "fBodyAcc-std()-Z" -0.455222146440678
"307" "test" 2 "WALKING" "fBodyAccJerk-std()-X" -0.31431306340678
"308" "test" 2 "WALKING" "fBodyAccJerk-std()-Y" -0.0153329520084746
"309" "test" 2 "WALKING" "fBodyAccJerk-std()-Z" -0.615898188474576
"310" "test" 2 "WALKING" "fBodyGyro-std()-X" -0.604053019152542
"311" "test" 2 "WALKING" "fBodyGyro-std()-Y" -0.533046952542373
"312" "test" 2 "WALKING" "fBodyGyro-std()-Z" -0.559856635084746
"313" "test" 2 "WALKING" "fBodyAccMag-std()" -0.577105211694915
"314" "test" 2 "WALKING" "fBodyBodyAccJerkMag-std()" -0.164091969449153
"315" "test" 2 "WALKING" "fBodyBodyGyroMag-std()" -0.651792839661017
"316" "test" 2 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.558104554745763
"317" "test" 2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.27761534806383
"318" "test" 2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0226614158361702
"319" "test" 2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.116812942382979
"320" "test" 2 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.861831345531915
"321" "test" 2 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" -0.325780100638298
"322" "test" 2 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" -0.0438890162723404
"323" "test" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-X" 0.110040615569574
"324" "test" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Y" -0.00327959081489362
"325" "test" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Z" -0.0209351677765957
"326" "test" 2 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-X" -0.11594735287234
"327" "test" 2 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Y" -0.00482329231914894
"328" "test" 2 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Z" 0.097173808906383
"329" "test" 2 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-X" -0.0581038498510638
"330" "test" 2 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Y" -0.0421470257531915
"331" "test" 2 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Z" -0.0710229816893617
"332" "test" 2 "WALKING_DOWNSTAIRS" "tBodyAccMag-mean()" 0.0899511204978723
"333" "test" 2 "WALKING_DOWNSTAIRS" "tGravityAccMag-mean()" 0.0899511204978723
"334" "test" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag-mean()" 0.00565516335106383
"335" "test" 2 "WALKING_DOWNSTAIRS" "tBodyGyroMag-mean()" -0.162188586930426
"336" "test" 2 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag-mean()" -0.410872671489362
